[GIN],2020/06/14 - 17:53:38,200,"     82.291µs",73.29.86.152,GET,"/health"
[GIN],2020/06/14 - 17:53:38,200,"      40.27µs",73.29.86.152,GET,"/health"
[GIN],2020/06/14 - 17:53:38,200,"      39.94µs",73.29.86.152,GET,"/health"
[GIN],2020/06/14 - 17:53:38,200,"     38.813µs",73.29.86.152,GET,"/health"
[GIN],2020/06/14 - 17:53:42,200," 4.044352931s",73.29.86.152,GET,"/movies/tconst/tt0000492"
[GIN],2020/06/14 - 17:53:46,200,"   4.0036251s",73.29.86.152,GET,"/movies/tconst/tt0000492"
[GIN],2020/06/14 - 17:53:50,200," 3.974571363s",73.29.86.152,GET,"/movies/tconst/tt0000492"
[GIN],2020/06/14 - 17:53:54,200," 3.964284509s",73.29.86.152,GET,"/movies/tconst/tt0000492"
[GIN],2020/06/14 - 17:54:01,200," 6.269854578s",73.29.86.152,GET,"/movies/startYear/2000"
[GIN],2020/06/14 - 17:54:08,200," 6.441107684s",73.29.86.152,GET,"/movies/startYear/2000"
[GIN],2020/06/14 - 17:54:14,200," 6.332355188s",73.29.86.152,GET,"/movies/startYear/2000"
[GIN],2020/06/14 - 17:54:21,200," 6.376316912s",73.29.86.152,GET,"/movies/startYear/2000"
[GIN],2020/06/14 - 17:55:09,200,"48.327907846s",73.29.86.152,GET,"/movies/genre/drama"
[GIN],2020/06/14 - 17:55:54,200,"44.611940695s",73.29.86.152,GET,"/movies/genre/drama"
[GIN],2020/06/14 - 17:56:36,200,"41.861783978s",73.29.86.152,GET,"/movies/genre/drama"
[GIN],2020/06/14 - 17:57:23,200,"46.147270911s",73.29.86.152,GET,"/movies/genre/drama"